batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_runs_x,crr,rrr,results
Kolkata Knight Riders,Rajasthan Royals,Kolkata,114,102,10,132,6.0,6.71,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,41,27,4,174,8.58,9.11,0
Chennai Super Kings,Rajasthan Royals,Jaipur,113,64,6,159,4.93,10.59,1
Delhi Capitals,Mumbai Indians,Mumbai,84,35,5,179,6.71,14.4,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,114,45,7,210,7.68,15.2,0
Royal Challengers Bangalore,Delhi Capitals,Bangalore,126,73,10,184,7.4,10.36,0
Kolkata Knight Riders,Rajasthan Royals,Abu Dhabi,79,46,8,153,6.0,10.3,0
Chennai Super Kings,Mumbai Indians,Kolkata,151,70,9,203,6.24,12.94,0
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,74,59,10,140,6.49,7.53,1
Kolkata Knight Riders,Delhi Capitals,Delhi,158,99,9,178,5.71,9.58,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,8,7,4,131,6.53,6.86,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,201,115,10,208,8.4,10.49,0
Rajasthan Royals,Chennai Super Kings,Pune,87,29,3,211,8.18,18.0,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,28,13,4,151,6.9,12.92,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,64,67,9,139,8.49,5.73,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,99,56,7,166,6.28,10.61,1
Chennai Super Kings,Rajasthan Royals,Chennai,24,15,6,186,9.26,9.6,1
Rajasthan Royals,Mumbai Indians,Mumbai,0,3,4,192,9.85,0.0,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,120,74,9,191,9.26,9.73,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,29,53,8,82,4.75,3.28,1
Kings XI Punjab,Rajasthan Royals,Jaipur,152,90,9,192,8.0,10.13,0
Delhi Capitals,Sunrisers Hyderabad,Visakhapatnam,115,81,10,172,8.77,8.52,1
Mumbai Indians,Delhi Capitals,Delhi,96,48,7,208,9.33,12.0,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,110,108,10,127,8.5,6.11,0
Delhi Capitals,Chennai Super Kings,Delhi,160,113,10,170,8.57,8.5,0
Chennai Super Kings,Kings XI Punjab,Chennai,85,56,7,157,6.75,9.11,0
Kolkata Knight Riders,Chennai Super Kings,Centurion,157,100,10,189,9.6,9.42,1
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,66,71,10,144,9.55,5.58,1
Chennai Super Kings,Kings XI Punjab,Chennai,69,40,5,157,6.6,10.35,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,108,97,7,132,6.26,6.68,0
Kolkata Knight Riders,Rajasthan Royals,Jaipur,0,6,7,166,8.74,0.0,1
Kings XI Punjab,Chennai Super Kings,Chennai,92,58,8,166,7.16,9.52,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,22,22,7,150,7.84,6.0,1
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,95,34,1,178,5.79,16.76,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,171,114,10,183,12.0,9.0,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,72,81,9,125,8.15,5.33,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,159,95,10,190,7.44,10.04,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,62,67,9,147,9.62,5.55,1
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,29,38,8,144,8.41,4.58,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,125,98,9,153,7.64,7.65,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,28,24,5,204,11.0,7.0,1
Kolkata Knight Riders,Delhi Capitals,Delhi,20,26,7,147,8.11,4.62,1
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,87,68,9,138,5.88,7.68,1
Sunrisers Hyderabad,Chennai Super Kings,Mumbai,95,55,6,143,4.43,10.36,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,130,82,9,201,11.21,9.51,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,107,85,10,162,9.43,7.55,1
Delhi Capitals,Chennai Super Kings,Pune,99,37,6,219,8.67,16.05,0
Royal Challengers Bangalore,Delhi Capitals,Bengaluru,121,73,8,187,8.43,9.95,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,141,112,9,146,3.75,7.55,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,24,26,9,142,7.53,5.54,1
Rajasthan Royals,Sunrisers Hyderabad,Delhi,78,67,6,133,6.23,6.99,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,82,34,7,190,7.53,14.47,1
Rajasthan Royals,Sunrisers Hyderabad,Delhi,59,41,5,133,5.62,8.63,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,117,70,8,171,6.48,10.03,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,24,15,6,186,9.26,9.6,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,160,99,9,206,13.14,9.7,1
Mumbai Indians,Delhi Capitals,Delhi,198,113,9,208,8.57,10.51,0
Mumbai Indians,Sunrisers Hyderabad,Centurion,24,5,2,146,6.37,28.8,0
Kings XI Punjab,Chennai Super Kings,Chennai,84,42,7,187,7.92,12.0,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,126,90,9,158,6.4,8.4,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,37,58,10,123,8.32,3.83,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,92,22,5,233,8.63,25.09,0
Delhi Capitals,Royal Challengers Bangalore,Bangalore,140,82,8,187,7.42,10.24,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,166,53,2,223,5.1,18.79,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,102,59,7,170,6.69,10.37,0
Kolkata Knight Riders,Delhi Capitals,Delhi,133,106,10,147,6.0,7.53,1
Kolkata Knight Riders,Mumbai Indians,Cuttack,60,50,9,142,7.03,7.2,1
Delhi Capitals,Kings XI Punjab,Delhi,53,64,10,119,7.07,4.97,0
Kings XI Punjab,Royal Challengers Bangalore,Durban,71,52,8,146,6.62,8.19,0
Rajasthan Royals,Mumbai Indians,Mumbai,150,103,9,167,6.0,8.74,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,39,2,1,185,7.42,117.0,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,55,24,5,194,8.69,13.75,0
Delhi Capitals,Mumbai Indians,Mumbai,85,114,10,93,8.0,4.47,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,90,77,9,155,9.07,7.01,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,1,61,7,90,9.05,0.1,1
Chennai Super Kings,Mumbai Indians,Cape Town,111,78,8,166,7.86,8.54,0
Mumbai Indians,Rajasthan Royals,Kolkata,41,33,8,166,8.62,7.45,1
Rajasthan Royals,Kings XI Punjab,Jaipur,20,46,9,154,10.86,2.61,1
Delhi Capitals,Chennai Super Kings,Johannesburg,31,13,4,164,7.46,14.31,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,44,41,9,144,7.59,6.44,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,50,31,8,184,9.03,9.68,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,186,118,10,186,0.0,9.46,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,70,63,8,155,8.95,6.67,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,66,62,9,141,7.76,6.39,1
Delhi Capitals,Rajasthan Royals,Mumbai,115,37,2,193,5.64,18.65,0
Delhi Capitals,Mumbai Indians,Centurion,19,28,6,166,9.59,4.07,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,82,117,10,90,16.0,4.21,1
Kolkata Knight Riders,Kings XI Punjab,Cuttack,55,52,9,150,8.38,6.35,1
Delhi Capitals,Mumbai Indians,Mumbai,178,115,10,184,7.2,9.29,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,-1,6,5,204,10.79,-1.0,1
Rajasthan Royals,Sunrisers Hyderabad,Mumbai,91,39,6,202,8.22,14.0,0
Royal Challengers Bangalore,Kings XI Punjab,Indore,10,75,10,94,11.2,0.8,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,132,98,9,145,3.55,8.08,1
Royal Challengers Bangalore,Delhi Capitals,Bangalore,130,78,10,184,7.71,10.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,80,39,6,208,9.48,12.31,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,49,22,5,194,8.88,13.36,0
Kings XI Punjab,Delhi Capitals,Delhi,77,24,4,189,7.0,19.25,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,79,71,9,141,7.59,6.68,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,39,24,5,163,7.75,9.75,1
Rajasthan Royals,Mumbai Indians,Mumbai,162,113,9,167,4.29,8.6,0
Kings XI Punjab,Chennai Super Kings,Chandigarh,49,11,6,241,10.57,26.73,0
Delhi Capitals,Royal Challengers Bangalore,Bangalore,166,106,9,192,11.14,9.4,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,173,110,10,184,6.6,9.44,1
Kings XI Punjab,Rajasthan Royals,Chandigarh,44,-2,2,178,6.59,-132.0,0
Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,56,116,10,66,15.0,2.9,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,63,118,10,68,15.0,3.2,1
Mumbai Indians,Kings XI Punjab,Mumbai,111,75,9,190,10.53,8.88,0
Mumbai Indians,Chennai Super Kings,Chennai,52,25,7,159,6.76,12.48,1
Mumbai Indians,Kings XI Punjab,Mumbai,-1,2,3,205,10.47,-3.0,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,70,23,3,199,7.98,18.26,0
Kings XI Punjab,Sunrisers Hyderabad,Mohali,22,11,7,159,7.54,12.0,1
Delhi Capitals,Chennai Super Kings,Pune,205,104,9,219,5.25,11.83,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,193,76,7,242,6.68,15.24,0
Delhi Capitals,Kolkata Knight Riders,Pune,157,117,10,163,12.0,8.05,0
Kolkata Knight Riders,Mumbai Indians,Cuttack,46,36,9,142,6.86,7.67,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,30,29,8,167,9.03,6.21,1
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,44,41,9,188,10.94,6.44,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,9,10,8,138,7.04,5.4,1
Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,141,85,8,188,8.06,9.95,0
Mumbai Indians,Royal Challengers Bangalore,Chennai,139,85,8,186,8.06,9.81,0
Delhi Capitals,Mumbai Indians,Visakhapatnam,102,35,4,207,7.41,17.49,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,120,85,9,175,9.43,8.47,0
Rajasthan Royals,Delhi Capitals,Jaipur,56,42,6,157,7.77,8.0,1
Kings XI Punjab,Mumbai Indians,Mohali,165,100,10,188,6.9,9.9,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,53,23,6,182,7.98,13.83,0
Kolkata Knight Riders,Sunrisers Hyderabad,Cuttack,28,28,6,127,6.46,6.0,1
Delhi Capitals,Kolkata Knight Riders,Kolkata,106,69,9,182,8.94,9.22,0
Delhi Capitals,Kolkata Knight Riders,Durban,96,81,10,155,9.08,7.11,0
Rajasthan Royals,Chennai Super Kings,Jaipur,108,44,6,197,7.03,14.73,0
Rajasthan Royals,Chennai Super Kings,Centurion,146,94,9,165,4.38,9.32,0
Kings XI Punjab,Delhi Capitals,Bloemfontein,86,88,7,121,6.56,5.86,1
Kolkata Knight Riders,Delhi Capitals,Delhi,59,51,7,147,7.65,6.94,1
Chennai Super Kings,Mumbai Indians,Kolkata,56,24,2,149,5.81,14.0,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,103,71,7,160,6.98,8.7,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,124,107,9,145,9.69,6.95,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,62,35,7,172,7.76,10.63,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,127,76,9,208,11.05,10.03,1
Kolkata Knight Riders,Kings XI Punjab,Cuttack,136,106,10,150,6.0,7.7,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,108,84,9,146,6.33,7.71,1
Chennai Super Kings,Mumbai Indians,Kolkata,181,94,10,203,5.08,11.55,0
Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,118,83,9,168,8.11,8.53,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,46,33,6,131,5.86,8.36,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,150,114,10,156,6.0,7.89,0
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,107,61,8,214,10.88,10.52,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,36,28,6,159,8.02,7.71,1
Kolkata Knight Riders,Delhi Capitals,Delhi,12,19,7,154,8.44,3.79,1
Mumbai Indians,Chennai Super Kings,Chennai,90,77,10,159,9.63,7.01,1
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,50,23,5,191,8.72,13.04,1
Delhi Capitals,Royal Challengers Bangalore,Bangalore,63,75,9,155,12.27,5.04,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,104,71,7,136,3.92,8.79,0
Rajasthan Royals,Delhi Capitals,Centurion,83,59,7,144,6.0,8.44,1
Delhi Capitals,Sunrisers Hyderabad,Cuttack,14,4,1,172,8.17,21.0,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,187,114,9,187,0.0,9.84,0
Delhi Capitals,Kings XI Punjab,Delhi,0,36,9,119,8.5,0.0,0
Kings XI Punjab,Rajasthan Royals,Jaipur,124,66,6,192,7.56,11.27,0
Kings XI Punjab,Sunrisers Hyderabad,Kimberley,41,20,4,169,7.68,12.3,1
Chennai Super Kings,Mumbai Indians,Mumbai,98,69,8,165,7.88,8.52,0
Rajasthan Royals,Kings XI Punjab,Jaipur,110,109,10,125,8.18,6.06,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,76,58,9,165,8.61,7.86,1
Delhi Capitals,Rajasthan Royals,Jaipur,32,48,7,142,9.17,4.0,0
Delhi Capitals,Kings XI Punjab,Pune,77,48,8,166,7.42,9.62,0
Kolkata Knight Riders,Delhi Capitals,Kolkata,42,47,8,129,7.15,5.36,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,183,111,10,190,4.67,9.89,1
Delhi Capitals,Mumbai Indians,Delhi,167,115,10,175,9.6,8.71,0
Rajasthan Royals,Mumbai Indians,Mumbai,99,66,9,178,8.78,9.0,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,58,27,6,176,7.61,12.89,1
Delhi Capitals,Kolkata Knight Riders,Kolkata,108,99,8,134,7.43,6.55,0
Mumbai Indians,Rajasthan Royals,Kolkata,153,111,10,166,8.67,8.27,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,151,113,10,162,9.43,8.02,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,3,11,7,139,7.49,1.64,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,56,44,8,140,6.63,7.64,1
Kolkata Knight Riders,Delhi Capitals,Kolkata,160,117,10,161,2.0,8.21,1
Kings XI Punjab,Delhi Capitals,Delhi,71,81,10,112,6.31,5.26,1
Rajasthan Royals,Mumbai Indians,Mumbai,33,10,1,198,9.0,19.8,0
Kings XI Punjab,Delhi Capitals,Bloemfontein,79,70,7,121,5.04,6.77,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,63,26,5,197,8.55,14.54,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,9,8,6,188,9.59,6.75,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,78,38,4,160,6.0,12.32,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,139,113,10,155,13.71,7.38,1
Kolkata Knight Riders,Delhi Capitals,Delhi,145,85,8,187,7.2,10.24,0
Rajasthan Royals,Mumbai Indians,Mumbai,28,3,1,198,8.72,56.0,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,88,55,6,175,8.03,9.6,0
Mumbai Indians,Delhi Capitals,Mumbai,86,33,5,220,9.24,15.64,0
Delhi Capitals,Rajasthan Royals,Ahmedabad,202,119,10,202,0.0,10.18,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Cape Town,172,105,9,185,5.2,9.83,0
Chennai Super Kings,Mumbai Indians,Cape Town,20,-1,3,166,7.24,-120.0,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,95,39,1,212,8.67,14.62,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,112,10,145,2.25,7.61,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bengaluru,222,115,10,223,1.2,11.58,0
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,55,51,8,136,7.04,6.47,1
Mumbai Indians,Rajasthan Royals,Mumbai,82,64,6,190,11.57,7.69,1
Delhi Capitals,Mumbai Indians,Delhi,206,113,10,219,11.14,10.94,0
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,90,29,4,196,6.99,18.62,0
Kings XI Punjab,Rajasthan Royals,Chandigarh,161,103,10,184,8.12,9.38,0
Kolkata Knight Riders,Delhi Capitals,Delhi,70,59,10,161,8.95,7.12,1
Rajasthan Royals,Mumbai Indians,Mumbai,138,83,6,167,4.7,9.98,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,64,75,8,120,7.47,5.12,1
Kings XI Punjab,Royal Challengers Bangalore,Indore,13,38,8,149,9.95,2.05,1
Rajasthan Royals,Chennai Super Kings,Jaipur,82,28,5,197,7.5,17.57,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,78,71,9,144,8.08,6.59,1
Rajasthan Royals,Kings XI Punjab,Jaipur,137,84,10,201,10.67,9.79,0
Rajasthan Royals,Mumbai Indians,Mumbai,81,46,5,167,6.97,10.57,0
Chennai Super Kings,Kings XI Punjab,Chennai,88,80,10,137,7.35,6.6,0
Kings XI Punjab,Sunrisers Hyderabad,Mohali,94,64,9,159,6.96,8.81,1
Delhi Capitals,Chennai Super Kings,Chennai,11,10,8,170,8.67,6.6,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,105,25,5,231,7.96,25.2,0
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,114,90,8,133,3.8,7.6,0
Kolkata Knight Riders,Kings XI Punjab,Bangalore,72,42,8,200,9.85,10.29,1
Kings XI Punjab,Royal Challengers Bangalore,Durban,13,6,5,146,7.0,13.0,0
Sunrisers Hyderabad,Kolkata Knight Riders,Johannesburg,90,60,9,161,7.1,9.0,0
Chennai Super Kings,Mumbai Indians,Mumbai,6,22,6,184,10.9,1.64,1
Delhi Capitals,Royal Challengers Bangalore,Port Elizabeth,60,34,7,150,6.28,10.59,0
Delhi Capitals,Mumbai Indians,Mumbai,40,69,8,93,6.24,3.48,0
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,74,58,10,140,6.39,7.66,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,49,45,7,206,12.56,6.53,1
Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,52,25,4,135,5.24,12.48,0
Delhi Capitals,Rajasthan Royals,Delhi,45,51,7,125,6.96,5.29,1
Kings XI Punjab,Sunrisers Hyderabad,Dharamsala,150,78,8,199,7.0,11.54,0
Delhi Capitals,Mumbai Indians,Mumbai,53,14,3,179,7.13,22.71,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,25,4,1,149,6.41,37.5,0
Mumbai Indians,Rajasthan Royals,Mumbai,97,105,10,104,2.8,5.54,1
Kolkata Knight Riders,Delhi Capitals,Delhi,137,94,7,169,7.38,8.74,1
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,61,28,5,166,6.85,13.07,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,16,6,4,191,9.21,16.0,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,98,54,7,200,9.27,10.89,0
Rajasthan Royals,Mumbai Indians,Jaipur,19,9,4,173,8.32,12.67,1
Rajasthan Royals,Kings XI Punjab,Jaipur,174,102,10,201,9.0,10.24,0
Rajasthan Royals,Royal Challengers Bangalore,Abu Dhabi,35,83,8,71,5.84,2.53,1
Kings XI Punjab,Kolkata Knight Riders,Indore,147,58,6,251,10.06,15.21,0
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,36,74,7,81,5.87,2.92,1
Rajasthan Royals,Delhi Capitals,Jaipur,7,10,3,157,8.18,4.2,1
Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,49,22,4,158,6.67,13.36,0
Mumbai Indians,Kings XI Punjab,Mumbai,151,106,10,164,5.57,8.55,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,106,65,9,180,8.07,9.78,1
Sunrisers Hyderabad,Delhi Capitals,Durban,69,44,7,174,8.29,9.41,0
Chennai Super Kings,Kings XI Punjab,Chennai,12,3,2,157,7.44,24.0,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,29,20,4,135,6.36,8.7,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,78,59,5,174,9.44,7.93,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,84,53,8,184,8.96,9.51,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,129,39,3,218,6.59,19.85,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,93,53,8,215,10.93,10.53,1
Chennai Super Kings,Kings XI Punjab,Mumbai,3,34,9,113,7.67,0.53,1
Delhi Capitals,Kings XI Punjab,Chandigarh,170,104,10,182,4.5,9.81,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,69,91,7,136,13.86,4.55,1
Mumbai Indians,Rajasthan Royals,Kolkata,41,35,8,166,8.82,7.03,1
Delhi Capitals,Kings XI Punjab,Mohali,146,100,9,176,9.0,8.76,0
Royal Challengers Bangalore,Delhi Capitals,Sharjah,20,28,8,146,8.22,4.29,1
Chennai Super Kings,Delhi Capitals,Delhi,90,61,8,188,9.97,8.85,1
Kings XI Punjab,Sunrisers Hyderabad,Cuttack,110,58,5,171,5.9,11.38,0
Rajasthan Royals,Royal Challengers Bangalore,Centurion,82,91,10,106,4.97,5.41,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,11,19,6,185,10.34,3.47,1
Rajasthan Royals,Chennai Super Kings,Pune,98,39,5,211,8.37,15.08,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,152,109,9,161,4.91,8.37,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,135,117,10,135,0.0,6.92,1
Royal Challengers Bangalore,Delhi Capitals,Raipur,101,89,8,139,7.35,6.81,1
Rajasthan Royals,Delhi Capitals,Jaipur,72,55,10,155,7.66,7.85,1
Rajasthan Royals,Delhi Capitals,Delhi,38,30,7,153,7.67,7.6,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,38,11,4,186,8.15,20.73,0
Delhi Capitals,Royal Challengers Bangalore,Delhi,83,39,6,216,9.85,12.77,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,101,80,10,162,9.15,7.58,1
Delhi Capitals,Royal Challengers Bangalore,Bangalore,127,97,10,158,8.09,7.86,0
Kings XI Punjab,Rajasthan Royals,Pune,56,27,5,163,6.9,12.44,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,134,108,10,141,3.5,7.44,0
Chennai Super Kings,Sunrisers Hyderabad,Sharjah,117,94,10,146,6.69,7.47,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,132,65,7,191,6.44,12.18,1
Delhi Capitals,Chennai Super Kings,Chennai,80,35,7,177,6.85,13.71,0
Chennai Super Kings,Kings XI Punjab,Pune,164,119,10,165,6.0,8.27,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,161,103,9,185,8.47,9.38,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,15,11,5,146,7.21,8.18,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,185,112,10,191,4.5,9.91,1
Kings XI Punjab,Chennai Super Kings,Chennai,152,80,7,193,6.15,11.4,0
Chennai Super Kings,Rajasthan Royals,Ranchi,70,57,7,149,7.52,7.37,1
Kings XI Punjab,Kolkata Knight Riders,Indore,146,57,6,251,10.0,15.37,0
Rajasthan Royals,Chennai Super Kings,Jaipur,95,39,6,197,7.56,14.62,0
Sunrisers Hyderabad,Chennai Super Kings,Durban,82,62,8,166,8.69,7.94,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,52,38,5,161,7.98,8.21,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,169,93,10,195,5.78,10.9,0
Chennai Super Kings,Kings XI Punjab,Chandigarh,26,33,7,131,7.24,4.73,1
Delhi Capitals,Chennai Super Kings,Chennai,39,40,6,113,5.55,5.85,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,157,101,10,184,8.53,9.33,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,31,46,8,139,8.76,4.04,1
Royal Challengers Bangalore,Mumbai Indians,Johannesburg,99,85,9,150,8.74,6.99,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,115,67,7,184,7.81,10.3,1
Delhi Capitals,Mumbai Indians,Delhi,50,7,2,175,6.64,42.86,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,56,25,6,191,8.53,13.44,1
Chennai Super Kings,Mumbai Indians,Mumbai,129,93,9,158,6.44,8.32,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,59,28,5,164,6.85,12.64,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,6,30,9,123,7.8,1.2,1
Rajasthan Royals,Mumbai Indians,Mumbai,145,62,6,213,7.03,14.03,0
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,71,19,4,190,7.07,22.42,0
Mumbai Indians,Kings XI Punjab,Centurion,51,62,8,120,7.14,4.94,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Johannesburg,124,98,9,144,5.45,7.59,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,98,48,6,184,7.17,12.25,1
Mumbai Indians,Rajasthan Royals,Mumbai,34,49,6,190,13.18,4.16,1
Kolkata Knight Riders,Rajasthan Royals,Abu Dhabi,111,73,9,153,5.36,9.12,0
Rajasthan Royals,Chennai Super Kings,Centurion,58,25,5,165,6.76,13.92,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,71,32,6,172,6.89,13.31,0
Rajasthan Royals,Sunrisers Hyderabad,Visakhapatnam,65,60,10,128,6.3,6.5,1
Kings XI Punjab,Chennai Super Kings,Chennai,119,83,8,166,7.62,8.6,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,67,68,8,161,10.85,5.91,1
Chennai Super Kings,Mumbai Indians,Mumbai,134,93,10,174,8.89,8.65,1
Royal Challengers Bangalore,Mumbai Indians,Bangalore,126,50,7,210,7.2,15.12,0
Delhi Capitals,Mumbai Indians,Delhi,173,72,4,213,5.0,14.42,0
Rajasthan Royals,Kings XI Punjab,Jaipur,119,114,10,125,6.0,6.26,1
Delhi Capitals,Kolkata Knight Riders,Durban,11,13,9,155,8.07,5.08,0
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,157,110,10,167,6.0,8.56,1
